modelo,familia,modo,MAE,RMSE,MAPE%,y_true,y_pred,scope,programa,y_true_total,y_pred_total,fold,n_train
LightGBM,ML Moderno,POR_SETOR,1490.1,1490.1,24.63,,,POR_SETOR,PESCA ARTESANAL,6049.0,4559.0,2023,2
ARIMA,Estatístico,POR_SETOR,,,,11554.0,,POR_SETOR,ZONA CANAVIEIRA,,,2023,2
ETS,Estatístico,POR_SETOR,5088.0,5088.0,44.04,11554.0,6465.999999962909,POR_SETOR,ZONA CANAVIEIRA,,,2023,2
LinearRegression,ML Clássico,POR_SETOR,5624.26,5624.26,48.68,,,POR_SETOR,ZONA CANAVIEIRA,11554.0,5930.0,2023,2
DecisionTree,ML Clássico,POR_SETOR,4261.24,4261.24,36.88,,,POR_SETOR,ZONA CANAVIEIRA,11554.0,15815.0,2023,2
RandomForest,ML Moderno,POR_SETOR,5202.3,5202.3,45.03,,,POR_SETOR,ZONA CANAVIEIRA,11554.0,16756.0,2023,2
LightGBM,ML Moderno,POR_SETOR,5135.58,5135.58,44.45,,,POR_SETOR,ZONA CANAVIEIRA,11554.0,16690.0,2023,2
ARIMA,Estatístico,GLOBAL,2248.68,2248.68,10.86,20698.0,22946.680776880694,GLOBAL,TODOS,,,2024,3
ETS,Estatístico,GLOBAL,7433.19,7433.19,35.91,20698.0,13264.808926864895,GLOBAL,TODOS,,,2024,3
LinearRegression,ML Clássico,GLOBAL,5164.31,5428.07,81.65,,,GLOBAL,TODOS,20698.0,5205.0,2024,3
DecisionTree,ML Clássico,GLOBAL,806.79,1047.64,10.14,,,GLOBAL,TODOS,20698.0,22658.0,2024,3
RandomForest,ML Moderno,GLOBAL,1372.42,1594.56,19.02,,,GLOBAL,TODOS,20698.0,17707.0,2024,3
LightGBM,ML Moderno,GLOBAL,1066.65,1183.8,19.74,,,GLOBAL,TODOS,20698.0,17498.0,2024,3
ARIMA,Estatístico,POR_SETOR,336.97,336.97,7.37,4570.0,4233.029895639207,POR_SETOR,FRUTICULTURA IRRIGADA,,,2024,3
ETS,Estatístico,POR_SETOR,1686.0,1686.0,36.89,4570.0,2883.9995766625875,POR_SETOR,FRUTICULTURA IRRIGADA,,,2024,3
LinearRegression,ML Clássico,POR_SETOR,2896.64,2896.64,63.38,,,POR_SETOR,FRUTICULTURA IRRIGADA,4570.0,1673.0,2024,3
DecisionTree,ML Clássico,POR_SETOR,332.78,332.78,7.28,,,POR_SETOR,FRUTICULTURA IRRIGADA,4570.0,4237.0,2024,3
RandomForest,ML Moderno,POR_SETOR,891.95,891.95,19.52,,,POR_SETOR,FRUTICULTURA IRRIGADA,4570.0,3678.0,2024,3
LightGBM,ML Moderno,POR_SETOR,2876.94,2876.94,62.95,,,POR_SETOR,FRUTICULTURA IRRIGADA,4570.0,1693.0,2024,3
ARIMA,Estatístico,POR_SETOR,232.01,232.01,4.17,5567.0,5799.009941920228,POR_SETOR,PESCA ARTESANAL,,,2024,3
ETS,Estatístico,POR_SETOR,1893.01,1893.01,34.0,5567.0,7460.012447556608,POR_SETOR,PESCA ARTESANAL,,,2024,3
LinearRegression,ML Clássico,POR_SETOR,3191.48,3191.48,57.33,,,POR_SETOR,PESCA ARTESANAL,5567.0,8758.0,2024,3
DecisionTree,ML Clássico,POR_SETOR,173.7,173.7,3.12,,,POR_SETOR,PESCA ARTESANAL,5567.0,5741.0,2024,3
RandomForest,ML Moderno,POR_SETOR,561.5,561.5,10.09,,,POR_SETOR,PESCA ARTESANAL,5567.0,6128.0,2024,3
LightGBM,ML Moderno,POR_SETOR,2255.09,2255.09,40.51,,,POR_SETOR,PESCA ARTESANAL,5567.0,7822.0,2024,3
ARIMA,Estatístico,POR_SETOR,2416.01,2416.01,22.88,10561.0,12977.012504456186,POR_SETOR,ZONA CANAVIEIRA,,,2024,3
ETS,Estatístico,POR_SETOR,7640.18,7640.18,72.34,10561.0,2920.815592004159,POR_SETOR,ZONA CANAVIEIRA,,,2024,3
LinearRegression,ML Clássico,POR_SETOR,14164.47,14164.47,134.12,,,POR_SETOR,ZONA CANAVIEIRA,10561.0,-3603.0,2024,3
DecisionTree,ML Clássico,POR_SETOR,3330.57,3330.57,31.54,,,POR_SETOR,ZONA CANAVIEIRA,10561.0,7230.0,2024,3
RandomForest,ML Moderno,POR_SETOR,2928.15,2928.15,27.73,,,POR_SETOR,ZONA CANAVIEIRA,10561.0,7633.0,2024,3
LightGBM,ML Moderno,POR_SETOR,996.28,996.28,9.43,,,POR_SETOR,ZONA CANAVIEIRA,10561.0,9565.0,2024,3
ARIMA,Estatístico,GLOBAL,814.95,814.95,4.06,20070.0,20884.95080897237,GLOBAL,TODOS,,,2025,4
ETS,Estatístico,GLOBAL,7269.49,7269.49,36.22,20070.0,12800.511891850852,GLOBAL,TODOS,,,2025,4
LinearRegression,ML Clássico,GLOBAL,6860.34,7498.56,103.63,,,GLOBAL,TODOS,20070.0,-511.0,2025,4
DecisionTree,ML Clássico,GLOBAL,1571.07,2134.31,19.7,,,GLOBAL,TODOS,20070.0,16573.0,2025,4
RandomForest,ML Moderno,GLOBAL,1047.51,1592.35,12.04,,,GLOBAL,TODOS,20070.0,16927.0,2025,4
LightGBM,ML Moderno,GLOBAL,927.57,1070.11,12.71,,,GLOBAL,TODOS,20070.0,17287.0,2025,4
ARIMA,Estatístico,POR_SETOR,181.19,181.19,4.31,4203.0,4384.194611407871,POR_SETOR,FRUTICULTURA IRRIGADA,,,2025,4
ETS,Estatístico,POR_SETOR,865.0,865.0,20.58,4203.0,5067.999972373245,POR_SETOR,FRUTICULTURA IRRIGADA,,,2025,4
LinearRegression,ML Clássico,POR_SETOR,18670.36,18670.36,444.22,,,POR_SETOR,FRUTICULTURA IRRIGADA,4203.0,-14467.0,2025,4
DecisionTree,ML Clássico,POR_SETOR,517.0,517.0,12.3,,,POR_SETOR,FRUTICULTURA IRRIGADA,4203.0,4720.0,2025,4
RandomForest,ML Moderno,POR_SETOR,243.91,243.91,5.8,,,POR_SETOR,FRUTICULTURA IRRIGADA,4203.0,3959.0,2025,4
LightGBM,ML Moderno,POR_SETOR,138.51,138.51,3.3,,,POR_SETOR,FRUTICULTURA IRRIGADA,4203.0,4342.0,2025,4
ARIMA,Estatístico,POR_SETOR,551.83,551.83,9.32,5923.0,5371.174909203666,POR_SETOR,PESCA ARTESANAL,,,2025,4
ETS,Estatístico,POR_SETOR,541.51,541.51,9.14,5923.0,6464.506555525054,POR_SETOR,PESCA ARTESANAL,,,2025,4
LinearRegression,ML Clássico,POR_SETOR,2285.75,2285.75,38.59,,,POR_SETOR,PESCA ARTESANAL,5923.0,3637.0,2025,4
DecisionTree,ML Clássico,POR_SETOR,756.89,756.89,12.78,,,POR_SETOR,PESCA ARTESANAL,5923.0,6680.0,2025,4
RandomForest,ML Moderno,POR_SETOR,358.16,358.16,6.05,,,POR_SETOR,PESCA ARTESANAL,5923.0,5565.0,2025,4
LightGBM,ML Moderno,POR_SETOR,1566.35,1566.35,26.45,,,POR_SETOR,PESCA ARTESANAL,5923.0,4357.0,2025,4
ARIMA,Estatístico,POR_SETOR,872.65,872.65,8.78,9944.0,10816.650942308905,POR_SETOR,ZONA CANAVIEIRA,,,2025,4
ETS,Estatístico,POR_SETOR,376.0,376.0,3.78,9944.0,9567.999885916697,POR_SETOR,ZONA CANAVIEIRA,,,2025,4
LinearRegression,ML Clássico,POR_SETOR,15658.49,15658.49,157.47,,,POR_SETOR,ZONA CANAVIEIRA,9944.0,-5714.0,2025,4
DecisionTree,ML Clássico,POR_SETOR,3450.98,3450.98,34.7,,,POR_SETOR,ZONA CANAVIEIRA,9944.0,6493.0,2025,4
RandomForest,ML Moderno,POR_SETOR,2867.61,2867.61,28.84,,,POR_SETOR,ZONA CANAVIEIRA,9944.0,7076.0,2025,4
LightGBM,ML Moderno,POR_SETOR,723.36,723.36,7.27,,,POR_SETOR,ZONA CANAVIEIRA,9944.0,9221.0,2025,4
